"";"Producing";"NatRes";"Construction";"Manufacturing";"Services";"Trade";"Information";"Financial";"Professional";"EducationHealth";"Hospitality";"Other";"Public";"Unclassified"
"01000";1,32496748672161;0,694126215046903;0,933941255692619;1,65777294472132;0,881474364915702;1,09939041427303;0,567790865571773;0,907666986789708;0,883217688268045;1,04901976971956;0,94728627671619;0,795676914999076;1,33678937609389;0,00484882011299568
"01023";3,38195677637851;6,41456844634679;0;0;0,831375701984375;1,28494001528047;0,304698927120192;0,579266673927619;0,195183361866302;1,03451004967108;0,37467467085361;0,975533375957279;1,13821163780194;0,139191767759555
"01041";2,62805001919147;2,0833568635392;0,543258726179865;3,90595743328793;0,722926895165583;0,87464283235038;0;0,527602258976926;0,129035959683761;0,98546900679283;0,386855931302578;1,28226525193593;1,23542686323586;0
"01049";2,43385923349813;1,12678036368168;0,65797592591079;3,66672463801651;0,758444371281723;1,02505545646695;0,390273944949693;0,467845988473019;0,313517507697493;0,849659262981419;0,707513327395736;0,358347717484558;1,00030978451217;0,0366755500411559
"01073";0,816617668000765;0,359631646315446;0,93047853271415;0,833275361055714;0,993899466639468;1,12404886758101;0,896627502818389;1,3915308920866;0,911514265766832;1,20566394199585;0,895106175796388;0,916919391400337;1,00266898563642;0,00926219924093972
"01097";1,201378601523;0,407413940594549;1,1754352719053;1,35567314435289;0,9743516770971;1,12155523540163;0,506293794108205;0,795285440453107;0,875233864511532;1,00701573874795;0,862922407896248;1,05164076211898;0,854875920077524;0,00226502097221894
"01103";2,08729413985901;0,20117676764353;1,21888666660135;2,90585427024975;0,814212445264944;0,946223065514688;0,262117094096089;0,63042648660361;0,742468636839722;0,789731130658715;0,837530915310547;0,595941115063431;0,890161800048385;0,00810268281586785
"01999";0,991335209872994;0,434741515965032;2,50284949910561;0,237604692753528;1,01539086640189;1,41088597711816;0,965363584971276;1,00849968137833;2,69767714649791;0,223002398628285;0,000535249529790871;0,76927774789774;0,130081330034508;0
"02000";1,20177286460284;3,78778951135751;1,26979908089465;0,727452436721138;0,932643355317471;1,07227825977659;0,860589757552462;0,643493706777182;0,641778254838269;0,890130456991776;1,09374849377606;0,923778854753464;2,42134177746018;0,484438521527314
"02013";0;0;0;0;0,89571157452473;2,19292776709047;2,02609080404664;0;0,55908192153932;0;0,94672950336309;0;10,6617421814366;2,22132841744114
"02020";0,740201599106328;1,85422613402542;1,36058370090137;0,203443868708923;1,02642859185292;1,24894551358236;1,29365494971792;0,86986397801895;0,986139131464114;0,800342367386943;1,08790904702786;1,19075458547613;1,72241284183161;0,431208304698011
"02050";0,539302329265213;0;0,758062445529502;0;1,19818815153135;1,15167562365544;0,689581782429909;2,16880358935165;0,141580373823397;0,573323079132222;0,24731814896258;1,82856633789342;5,01430783698809;0
"02070";0,0124482102363349;0;0,0383692753142846;0;0,657499501622622;1,52493147635675;0;1,31887276728505;0,178980021086845;2,46213891464341;1,51539210934356;1,75902814907614;4,83983183593737;0,355559169128368
"02090";1,00253701090552;1,55114374021386;2,26587586416325;0,200545741430234;1,09284584998298;1,1834812289368;0,620938601575162;0,60337721954245;0,460612101755451;0,701288836999309;1,19935651264134;0,785343796153718;1,8574671920587;0,522883121482744
"02100";3,18031967567526;0;1,64780182402409;0;0,924769573015171;0,863848629569098;0,644274549617366;0,183255789217651;0,162468744348152;0,508413415058067;2,56544546685035;0,513897893139187;0,0633112330333241;0
"02105";0,601462326249641;0;0,499125552503958;0;1,04632253934344;1,08285733476447;0;0;0;0,239556165194806;4,60462477061499;0;3,57974728833281;0
"02110";0,777031627321842;3,17609272219037;0,921440229365313;0,289913528832548;1,12285247289877;1,14159338456689;0,759705769521405;0,449423748067854;0,477962725796354;0,441621084693701;0,986145809798752;1,00378037246634;4,36396819009949;0,255843378170735
"02122";1,30163297165371;3,91440442863765;1,15313188203708;0,945204288017496;0,880710514009344;1,13199142560016;0,530382609594132;0,470687184956423;0,257009452221757;1,00270400933165;1,52344039192468;0,954941998481035;2,4044109588036;0,41621257732853
"02130";1,3494757700653;1,34113343529779;1,00807963935528;1,54837421515234;0,958627498295611;1,26486365717376;0,451245777400447;0,67335005600562;0,21973641162607;0,497997769730585;1,25630633608121;0,38152664837944;3,33901156249436;0,523830283205327
"02150";2,93684807528619;2,60010703430377;0,828534995885617;4,19374498280172;0,632102680544549;0,79418757642819;0,374882776581001;0,521609381466241;0,352002395949109;0,507739230679386;0,758050438446141;0,626005510127086;1,99185257299263;0,399590264480273
"02164";1,68591632728724;0;1,20633526595299;0;1,03752166893608;0,905135170964243;0;0;0,123673765996155;0;2,80656748244628;0,638124065711031;4,9134786754055;0,429954958792057
"02170";0,990297155430861;0,83768490236276;2,32327694115598;0,268419753622703;1,05599773590043;1,21347969445398;0,954785997341112;0,535065580291892;0,418741645792472;0,875106036624602;1,34614030123762;0,962413411187378;1,29242085352298;0,468971554158972
"02180";1,01203009664318;0;0,885233183544092;0;1,22355450463176;0,913561035171644;0;0,494768308316825;0,317022699774738;0,700022562110767;0,488194386689787;2,2638278359007;4,36488647455587;0
"02185";4,10747750869459;40,3330210780423;0;0;0,467288509663335;0,215011683339386;0,145169250124228;0,0848519006831241;0,89430171307765;0,275559622060308;0,41366530902554;0,277193107201542;1,59736263581235;0,0487218398243543
"02195";2,83504583261018;1,34748046137701;0,661429214279944;4,32437798245433;0,784980272364316;0,89084214782337;1,03210927610954;0,245269368501081;0,194953386519885;0,170936815593835;0,618705121137148;0,758075697944302;1,8918164319023;0
"02198";1,49862453258058;4,83282345596248;0,457565165133481;1,52328669953939;0,704133504984769;1,20654284229452;0,61388471929838;0,566279448341394;0,13793681143199;0,666147864132605;1,27270515403491;0,382912406052572;6,36849981440027;0
"02220";2,36978942509756;0,9310294857271;0,758952039835956;3,53179065847731;0,851818635837931;0,928020083324642;0,329970301874717;0,358514340958483;0,300370229480673;0,527222147722555;0,967392830806708;0,612279027387193;1,02630493881846;0,285605376906369
"02240";1,5672574387677;11,6806118343079;0,947211246652931;0,20026470700626;0,934163887078947;0,822539834864121;0,24907881258671;0,152204987358867;0,786375022813041;0,772594062521836;0,908998546026036;0,289497474621959;2,88296388792289;1,75551735648016
"02261";2,04793574984766;2,27402293211228;0,892988206866931;2,66817753113975;0,778472738077955;1,14160554624572;0,863769344175643;0,26672694441302;0,348128465271252;0,273696850440724;1,49100212331658;0,999989138839745;2,59666058077991;1,00507463045927
"02275";2,71951997320282;0;0;3,94284811808571;0,981616225743564;0,92863224029994;0,647776647885895;0,401574690910233;0;0;0,696974277358937;0,695380374530306;1,66830129658736;0
"02282";0;0;0;0;0,925837903045193;1,88517465914566;0;0;0,149533859529359;0;5,72177811688134;0;2,39395599907257;5,54515439500933
"02290";0,450402321416735;0;1,1730434264261;0;1,15173823024921;0,696340632544271;0,436619621036023;0;0,15777318441747;1,44383891817738;0,340031384704331;1,33211141249859;6,33154191767407;0
"02999";1,42642909442685;4,02368384361753;0,898364259744909;1,28710387276958;0,962018405073531;0,540429290897541;1,04816430929346;0,381010937582194;3,16581953272684;0,191744487964757;0,0615147686874199;0,436079069320967;0,507394310452783;17,4333892979722
"04000";0,812367252473497;0,769497839970031;1,0267883974576;0,701785981599885;1,04168110676107;0,99053229793869;0,816566173763052;1,25907592012272;1,03223946247221;0,997295757278526;1,02404633387065;0,849332464208063;1,11714584374933;2,46912026546246
"04001";0,243009501173346;0,629223422224565;0,461115333140617;0,0551659708382178;1,14873156519221;0,715992814583373;0,585572722542678;0,395071023410542;0,166005453637826;1,28519933042105;0,568561046132483;1,59321130402828;6,76077523939299;0,0625324210382478
"04003";0,62457932314265;2,61283068180936;0,774444252786202;0,203784296500121;1,07546705842247;0,920296412995093;0,617020651840462;0,473912752987453;0,779048645926408;1,03676693376667;1,05235831567423;0,559591342223353;3,6567510554333;0,636943410237558
"04005";0,774399427868584;0,237558567157892;0,803429547570451;0,852328348936036;1,09334887980747;0,890970221132398;0,348247179006599;0,375933100535208;0,389302160462307;1,01794857890929;2,22590841687506;0,912429802690483;1,12280317817984;0,992692686348369
"04007";1,3800403994017;4,90568724875446;0,760661291749207;1,04952288279989;0,950039764841895;0,780879624411933;0,377248716810049;0,297752532124775;0,174555348626274;0,915248804397153;1,44596632145228;0,426286233465456;3,63140300698698;1,68971162917851
