STATEFP,COUNTYFP,FIPS,Producing,NatRes,Construction,Manufacturing,Services,Trade,Information,Financial,Professional,EducationHealth,Hospitality,Other,Public,Unclassified
06,037,06037,0.781452441,0.1389423,0.631794702,0.978148258,1.047271057,1.000924717,2.22964576,0.870404191,0.959936676,1.071968581,1.013700751,1.096070181,0.762761085,2.693806208
06,039,06039,2.579289149,18.60149135,0.68509434,0.928090425,0.644673802,0.624679719,0.385019823,0.314911533,0.423320714,1.155511035,0.655157905,0.675104716,1.980337215,1.360416481
06,041,06041,0.690524824,0.218326105,1.290237973,0.435382053,1.00397263,0.915351619,1.122631058,1.008243638,1.184990867,1.061555456,1.284567059,1.642681058,1.084964689,2.721709734
06,043,06043,0.39062923,0.557045321,0.624456254,0.231902024,1.007536943,0.469394711,0.101136972,0.216306757,0.16944056,0.809871939,5.212390217,0.794270232,1.464268621,0.900921979
06,045,06045,1.256718624,4.330800398,0.776397116,1.008639858,0.850135064,1.073189577,0.425281773,0.612825724,0.418884163,1.321042016,1.436369373,0.760357416,1.710350345,2.033423268
06,047,06047,2.789120174,16.00915212,0.555327521,1.80739508,0.61646151,0.881061309,0.19494368,0.365838234,0.374723029,1.061751061,0.627444378,0.532103172,0.937729102,1.130895053
06,049,06049,1.77909085,15.2588324,0.756060257,0.066764865,0.672779219,0.856510964,0,0.504031524,0.121403507,1.238429639,0.783910501,1.294580925,5.119110746,0
06,051,06051,0.455253768,0.779499481,0.970490931,0.11122685,1.001531699,0.629994246,0.164953916,0.861647459,0.441039914,0.517407348,4.333645223,1.001674921,2.057738844,2.417874641
06,053,06053,2.737556202,24.14810853,0.557888057,0.330217396,0.641256755,0.714555243,0.297678773,0.364793897,0.502582053,0.710316714,1.09601681,0.805356649,1.3219497,1.264038417
06,055,06055,1.958596187,4.925826514,1.152833514,1.914798792,0.836819988,0.660744965,0.269417562,0.531365066,0.638196279,0.909433726,1.443089347,0.859282439,0.660954099,1.716524264
06,057,06057,1.036183946,0.671777225,1.988064233,0.565411192,0.903521072,0.945396205,0.493836448,0.771110261,0.579604018,1.295005339,1.392290711,2.047104606,1.315672262,3.338474712
06,059,06059,1.102521543,0.133555767,1.251731997,1.187501976,0.989802832,0.873873027,0.789541532,1.330664486,1.280463969,0.77450518,1.162595871,0.922533126,0.527677996,2.517271255
06,061,06061,0.930871138,0.166891305,1.879310807,0.529698476,0.957649081,1.049584987,0.836390597,1.409980434,0.915107614,0.998321457,1.350152565,1.158207442,0.773976905,2.492427026
06,063,06063,0.911629206,0.726737234,1.150940751,0.811569831,1.024816091,0.769873255,0.367564363,0.486400574,0.339596485,1.103487499,1.478487909,0.84346586,3.247292916,1.743678607
06,065,06065,1.182300872,1.15402161,1.891998221,0.791367379,0.88107934,1.240749208,0.494323024,0.593641398,0.703627318,1.113484671,1.300721411,0.968002544,1.21600387,2.35287158
