Id,Id2,Geography,Units
310M200US10180,10180,"Abilene, TX Metro Area",70507
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",146009
310M200US10420,10420,"Akron, OH Metro Area",313241
310M200US10500,10500,"Albany, GA Metro Area",66262
310M200US10540,10540,"Albany, OR Metro Area",49304
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",397239
310M200US10740,10740,"Albuquerque, NM Metro Area",380455
310M200US10780,10780,"Alexandria, LA Metro Area",66123
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",344181
310M200US11020,11020,"Altoona, PA Metro Area",56067
310M200US11100,11100,"Amarillo, TX Metro Area",107463
310M200US11180,11180,"Ames, IA Metro Area",38114
310M200US11260,11260,"Anchorage, AK Metro Area",155631
310M200US11460,11460,"Ann Arbor, MI Metro Area",148496
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",53287
310M200US11540,11540,"Appleton, WI Metro Area",95106
310M200US11640,11640,"Arecibo, PR Metro Area",81427
310M200US11700,11700,"Asheville, NC Metro Area",216863
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",83470
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2214354
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",127386
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",65570
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",248805
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",764778
310M200US12540,12540,"Bakersfield, CA Metro Area",291469
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",1150424
310M200US12620,12620,"Bangor, ME Metro Area",74275
310M200US12700,12700,"Barnstable Town, MA Metro Area",161721
310M200US12940,12940,"Baton Rouge, LA Metro Area",341968
310M200US12980,12980,"Battle Creek, MI Metro Area",60685
310M200US13020,13020,"Bay City, MI Metro Area",48020
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",174712
310M200US13220,13220,"Beckley, WV Metro Area",57532
310M200US13380,13380,"Bellingham, WA Metro Area",92462
310M200US13460,13460,"Bend-Redmond, OR Metro Area",82420
310M200US13740,13740,"Billings, MT Metro Area",74215
310M200US13780,13780,"Binghamton, NY Metro Area",112006
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",507800
310M200US13900,13900,"Bismarck, ND Metro Area",56389
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",78992
310M200US14010,14010,"Bloomington, IL Metro Area",78513
310M200US14020,14020,"Bloomington, IN Metro Area",69527
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",37627
310M200US14260,14260,"Boise City, ID Metro Area",256178
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1901363
310M200US14500,14500,"Boulder, CO Metro Area",130924
310M200US14540,14540,"Bowling Green, KY Metro Area",71018
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",109329
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",364966
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",146207
310M200US15260,15260,"Brunswick, GA Metro Area",58235
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",520369
310M200US15500,15500,"Burlington, NC Metro Area",68101
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",94393
310M200US15680,15680,"California-Lexington Park, MD Metro Area",43267
310M200US15940,15940,"Canton-Massillon, OH Metro Area",179159
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",375688
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",42901
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",59413
310M200US16180,16180,"Carson City, NV Metro Area",23461
310M200US16220,16220,"Casper, WY Metro Area",35822
310M200US16300,16300,"Cedar Rapids, IA Metro Area",114637
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",64125
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",103311
310M200US16620,16620,"Charleston, WV Metro Area",107528
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",313027
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",973099
310M200US16820,16820,"Charlottesville, VA Metro Area",99207
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",237911
310M200US16940,16940,"Cheyenne, WY Metro Area",41651
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3803831
310M200US17020,17020,"Chico, CA Metro Area",97491
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",918989
310M200US17300,17300,"Clarksville, TN-KY Metro Area",114809
310M200US17420,17420,"Cleveland, TN Metro Area",51095
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",956688
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",66122
310M200US17780,17780,"College Station-Bryan, TX Metro Area",100093
310M200US17820,17820,"Colorado Springs, CO Metro Area",275214
310M200US17860,17860,"Columbia, MO Metro Area",73173
310M200US17900,17900,"Columbia, SC Metro Area",341066
310M200US17980,17980,"Columbus, GA-AL Metro Area",132216
310M200US18020,18020,"Columbus, IN Metro Area",33547
310M200US18140,18140,"Columbus, OH Metro Area",840063
310M200US18580,18580,"Corpus Christi, TX Metro Area",187486
310M200US18700,18700,"Corvallis, OR Metro Area",37115
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",142870
310M200US19060,19060,"Cumberland, MD-WV Metro Area",46324
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2645453
310M200US19140,19140,"Dalton, GA Metro Area",55420
310M200US19180,19180,"Danville, IL Metro Area",36010
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",107384
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",167892
310M200US19380,19380,"Dayton, OH Metro Area",367856
310M200US19460,19460,"Decatur, AL Metro Area",66672
310M200US19500,19500,"Decatur, IL Metro Area",50355
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",305678
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",1114105
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",254484
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",1890983
310M200US20020,20020,"Dothan, AL Metro Area",68053
310M200US20100,20100,"Dover, DE Metro Area",67862
310M200US20220,20220,"Dubuque, IA Metro Area",40349
310M200US20260,20260,"Duluth, MN-WI Metro Area",141916
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",233471
310M200US20700,20700,"East Stroudsburg, PA Metro Area",80699
310M200US20740,20740,"Eau Claire, WI Metro Area",70716
310M200US20940,20940,"El Centro, CA Metro Area",56963
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",63379
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",77937
310M200US21300,21300,"Elmira, NY Metro Area",38380
310M200US21340,21340,"El Paso, TX Metro Area",288141
310M200US21500,21500,"Erie, PA Metro Area",119824
310M200US21660,21660,"Eugene, OR Metro Area",157908
310M200US21780,21780,"Evansville, IN-KY Metro Area",140124
310M200US21820,21820,"Fairbanks, AK Metro Area",41690
310M200US22020,22020,"Fargo, ND-MN Metro Area",100080
310M200US22140,22140,"Farmington, NM Metro Area",49613
310M200US22180,22180,"Fayetteville, NC Metro Area",163907
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",205553
310M200US22380,22380,"Flagstaff, AZ Metro Area",64215
310M200US22420,22420,"Flint, MI Metro Area",190905
310M200US22500,22500,"Florence, SC Metro Area",89302
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",70551
310M200US22540,22540,"Fond du Lac, WI Metro Area",44488
310M200US22660,22660,"Fort Collins, CO Metro Area",138540
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",123026
310M200US23060,23060,"Fort Wayne, IN Metro Area",180658
310M200US23420,23420,"Fresno, CA Metro Area",324158
310M200US23460,23460,"Gadsden, AL Metro Area",47502
310M200US23540,23540,"Gainesville, FL Metro Area",121217
310M200US23580,23580,"Gainesville, GA Metro Area",69491
310M200US23900,23900,"Gettysburg, PA Metro Area",41290
310M200US24020,24020,"Glens Falls, NY Metro Area",68026
310M200US24140,24140,"Goldsboro, NC Metro Area",53203
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",46034
310M200US24260,24260,"Grand Island, NE Metro Area",34818
310M200US24300,24300,"Grand Junction, CO Metro Area",63791
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",408258
310M200US24420,24420,"Grants Pass, OR Metro Area",38023
310M200US24500,24500,"Great Falls, MT Metro Area",37560
310M200US24540,24540,"Greeley, CO Metro Area",100064
310M200US24580,24580,"Green Bay, WI Metro Area",140377
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",328034
310M200US24780,24780,"Greenville, NC Metro Area",76615
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",369044
310M200US25020,25020,"Guayama, PR Metro Area",36678
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",174472
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",107421
310M200US25220,25220,"Hammond, LA Metro Area",52556
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",44872
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",245202
310M200US25500,25500,"Harrisonburg, VA Metro Area",52600
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",508525
310M200US25620,25620,"Hattiesburg, MS Metro Area",62505
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",162183
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",104719
310M200US25980,25980,"Hinesville, GA Metro Area",33779
310M200US26140,26140,"Homosassa Springs, FL Metro Area",77717
310M200US26300,26300,"Hot Springs, AR Metro Area",50555
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",84240
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2441230
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",165632
310M200US26620,26620,"Huntsville, AL Metro Area",189915
310M200US26820,26820,"Idaho Falls, ID Metro Area",50977
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",835923
310M200US26980,26980,"Iowa City, IA Metro Area",68318
